ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/04/2026;COBERTURA;IMPORTE AFILIADO
30966;risperidona;DOZIC;2 mg comp.ran.x 20;Adium;$ 26804.18;50%;$ 13402.09
32778;risperidona;DOZIC;2 mg comp.ran.x 60;Adium;$ 75264.07;50%;$ 37632.04
30967;risperidona;DOZIC;3 mg comp.ran.x 20;Adium;$ 35035.02;50%;$ 17517.51
32779;risperidona;DOZIC;3 mg comp.ran.x 60;Adium;$ 103557.46;50%;$ 51778.73
57784;rivaroxabán;XAROBAN;10 mg x 10 comp.rec.;Adium;$ 52754.64;50%;$ 26377.32
57785;rivaroxabán;XAROBAN;10 mg x 30 comp.rec.;Adium;$ 106475.12;50%;$ 53237.56
57780;rivaroxabán;XAROBAN;15 mg x 15 comp.rec.;Adium;$ 58547.44;50%;$ 29273.72
57781;rivaroxabán;XAROBAN;15 mg x 30 comp.rec.;Adium;$ 105906.11;50%;$ 52953.06
57778;rivaroxabán;XAROBAN;2.5 mg x 30 comp.rec.;Adium;$ 60285.31;50%;$ 30142.66
57779;rivaroxabán;XAROBAN;2.5 mg x 60 comp.rec;Adium;$ 114573.15;50%;$ 57286.58
57782;rivaroxabán;XAROBAN;20 mg x 15 comp.rec.;Adium;$ 58943.18;50%;$ 29471.59
57783;rivaroxabán;XAROBAN;20 mg x 30 comp.rec.;Adium;$ 110850.52;50%;$ 55425.26
56218;rivastigmina;REMIZERAL PARCHES;13.3 mg parches x 30;Adium;$ 98870.68;50%;$ 49435.34
56216;rivastigmina;REMIZERAL PARCHES;4.6 mg parches x 30;Adium;$ 90889.54;50%;$ 45444.77
56217;rivastigmina;REMIZERAL PARCHES;9.5 mg parches x 30;Adium;$ 90889.54;50%;$ 45444.77
59530;sacubitrilo+valsartán;DUPERTAN;100 mg comp.rec.x 30;Adium;$ 95202.28;50%;$ 47601.14
59531;sacubitrilo+valsartán;DUPERTAN;100 mg comp.rec.x 60;Adium;$ 186303.7;50%;$ 93151.85
59532;sacubitrilo+valsartán;DUPERTAN;200 mg comp.rec.x 60;Adium;$ 201326.74;50%;$ 100663.37
59529;sacubitrilo+valsartán;DUPERTAN;50 mg comp.rec.x 30;Adium;$ 91078.92;50%;$ 45539.46
41636;sertralina;ATENIX;100 mg comp.ran.x 30;Adium;$ 49483.99;50%;$ 24742
26875;sertralina;ATENIX;25 mg comp.ran.x 30;Adium;$ 10944.32;50%;$ 5472.16
19916;sertralina;ATENIX;50 mg comp.ran.x 30;Adium;$ 30029.43;50%;$ 15014.72
20681;sertralina;ATENIX;50 mg comp.ran.x 60;Adium;$ 49306.75;50%;$ 24653.38
13164;simvastatin;REDUSTEROL;10 mg comp.x 30;Adium;$ 26626.9;60%;$ 10650.76
14602;simvastatin;REDUSTEROL;20 mg comp.x 30;Adium;$ 33738.75;60%;$ 13495.5
15214;simvastatin;REDUSTEROL;40 mg comp.x 30;Adium;$ 30433.89;60%;$ 12173.56
22374;tamsulosina;REDUPROST;0.4 mg cáps.x 30;Adium;$ 43862.58;50%;$ 21931.29
43795;tamsulosina;REDUPROST;0.4 mg cáps.x 60;Adium;$ 72851.72;50%;$ 36425.86
59607;terbinafina;LIKANA;250 mg comp.x 14;Adium;$ 18136.75;50%;$ 9068.38
59608;terbinafina;LIKANA;250 mg comp.x 28;Adium;$ 39505.36;50%;$ 19752.68
32776;topiramato;TOPICTAL;100 mg comp.rec.x 28;Adium;$ 55337.02;80%;$ 11067.4
41288;topiramato;TOPICTAL;100 mg comp.rec.x 56;Adium;$ 105286.43;80%;$ 21057.29
32774;topiramato;TOPICTAL;25 mg comp.rec.x 28;Adium;$ 18627.06;80%;$ 3725.41
41286;topiramato;TOPICTAL;25 mg comp.rec.x 56;Adium;$ 33519.64;80%;$ 6703.93
32775;topiramato;TOPICTAL;50 mg comp.rec.x 28;Adium;$ 35763.15;80%;$ 7152.63
41287;topiramato;TOPICTAL;50 mg comp.rec.x 56;Adium;$ 68882.3;80%;$ 13776.46
57555;tramadol;ULTRAGESIC GOTAS;100 mg/ml gtas. x 10 ml;Adium;$ 19711.97;50%;$ 9855.99
57556;tramadol;ULTRAGESIC GOTAS;100 mg/ml gtas. x 20 ml;Adium;$ 31481.13;50%;$ 15740.57
57552;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 10;Adium;$ 9175.11;50%;$ 4587.56
57553;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 20;Adium;$ 18350.3;50%;$ 9175.15
57554;tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 30;Adium;$ 25755.54;50%;$ 12877.77
52310;tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 10;Adium;$ 14414.05;40%;$ 8648.43
52311;tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 20;Adium;$ 29508.14;40%;$ 17704.88
52312;tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 30;Adium;$ 37282.58;40%;$ 22369.55
35905;valsartán;ALPERTAN;160 mg comp.rec.x 14;Adium;$ 17238.1;60%;$ 6895.24
35906;valsartán;ALPERTAN;160 mg comp.rec.x 28;Adium;$ 37907.09;60%;$ 15162.84
50246;valsartán;ALPERTAN;320 mg comp.rec.x 28;Adium;$ 40320.46;60%;$ 16128.18
35903;valsartán;ALPERTAN;80 mg comp.rec.x 14;Adium;$ 14428.62;60%;$ 5771.45
35904;valsartán;ALPERTAN;80 mg comp.rec.x 28;Adium;$ 29358.57;60%;$ 11743.43
