ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/04/2026;COBERTURA;IMPORTE AFILIADO
48706;loteprednol+tobramicina;LOTEVIS T;susp.oft.x 5 ml;Max Vision;$ 12387.15;50%;$ 6193.58
43367;loteprednol,etabonato;TALOF;susp.oft.x 5 ml;Max Vision;$ 16729.24;50%;$ 8364.62
48705;loteprednol,etabonato;LOTEVIS;susp.oft.x 5 ml;Max Vision;$ 15729.62;50%;$ 7864.81
58352;moxifloxacina;FLOMOX;sol.oft.x 5 ml;Max Vision;$ 26984.75;80%;$ 5396.95
57800;olopatadine;TIMALERG;0.2% sol.oft.x 5 ml;Max Vision;$ 22641.83;50%;$ 11320.92
1789;sangre de ternera,ext.desprotein;SOLCOSERYL;gel oft.x 5 g;Max Vision;$ 1661.76;50%;$ 830.88
20622;tobramicina+dexametasona+asoc.;POLIOFTAL;colirio x 5 ml;Max Vision;$ 800.26;50%;$ 400.13
32252;travoprost;GLAUCOPROST;sol.oft.x 3 ml;Max Vision;$ 26255.92;60%;$ 10502.37
9400;carbamazepina;ELEBE;200 mg comp.x 30;Medipharma;$ 16287.59;80%;$ 3257.52
9403;carbamazepina;ELEBE;200 mg comp.x 60;Medipharma;$ 31842.43;80%;$ 6368.49
9662;haloperidol;HALOPERIDOL MEDIPHARMA;10 mg comp.x 30;Medipharma;$ 20332.73;60%;$ 8133.09
58592;haloperidol;HALOPERIDOL MEDIPHARMA;10 mg comp.x 60;Medipharma;$ 42398.64;60%;$ 16959.46
9658;haloperidol;HALOPERIDOL MEDIPHARMA;5 mg comp.x 30;Medipharma;$ 11952.11;60%;$ 4780.84
58971;haloperidol;HALOPERIDOL MEDIPHARMA;5 mg comp.x 60;Medipharma;$ 23298.48;60%;$ 9319.39
23583;oxcarbazepina;RUPOX;300 mg comp.x 30;Medipharma;$ 54545.07;80%;$ 10909.01
24700;oxcarbazepina;RUPOX;300 mg comp.x 60;Medipharma;$ 97288.82;80%;$ 19457.76
25909;oxcarbazepina;RUPOX;600 mg comp.x 30;Medipharma;$ 103106.34;80%;$ 20621.27
23584;oxcarbazepina;RUPOX;600 mg comp.x 60;Medipharma;$ 179938.9;80%;$ 35987.78
37117;sertralina;VUNOT;50 mg comp.x 30;Medipharma;$ 23381.14;50%;$ 11690.57
37118;sertralina;VUNOT;50 mg comp.x 60;Medipharma;$ 43594.53;50%;$ 21797.27
45844;amoxicilina+clavulánico,ác.;CLAMOXOL DUO;comp.rec.x 10;Medisol;$ 10634.54;60%;$ 4253.82
9897;simeticona;SIMECON PEDIATRICO;gts.x 30 ml;Medisol;$ 1404.29;50%;$ 702.15
24057;aminoácidos+vit.b12;TANVIMIL AMINOACIDOS;comp.rec.x 30;Megalabs Argent;$ 9895.78;40%;$ 5937.47
15100;betametasona;BLACOR;cr.x 30 g;Megalabs Argent;$ 7694.68;50%;$ 3847.34
25865;betametasona+gentamic.+miconazol;HIFAMONIL CREMA;cr.x 20 g;Megalabs Argent;$ 16701.93;40%;$ 10021.16
25889;biotina;BIOTIN-A;5 mg comp.x 30;Megalabs Argent;$ 14743.74;50%;$ 7371.87
24450;calcitriol;CALCITRIOL MEGALABS;cáps.x 30;Megalabs Argent;$ 18965.08;60%;$ 7586.03
18254;cetirizina;STOPALER;comp.x 10;Megalabs Argent;$ 9472.92;40%;$ 5683.75
18255;cetirizina;STOPALER;comp.x 20;Megalabs Argent;$ 15788.22;40%;$ 9472.93
51105;cistina+asoc.;AMINOTERAPIA;comp.x 120;Megalabs Argent;$ 74982.72;40%;$ 44989.63
25711;cistina+asoc.;AMINOTERAPIA;comp.x 30;Megalabs Argent;$ 33076.18;40%;$ 19845.71
12125;cistina+asoc.;AMINOTERAPIA;comp.x 90;Megalabs Argent;$ 75127.86;40%;$ 45076.72
21942;cistina+asoc.;AMINOTERAPIA;sob.x 30;Megalabs Argent;$ 13569.64;40%;$ 8141.78
42090;clindamicina+benzoílo,peróxido;PEROXICLIN DUO;gel x 30 g;Megalabs Argent;$ 5491.83;50%;$ 2745.92
15161;coaltar;SUTRICO TAR;shamp.acond.x 100 ml;Megalabs Argent;$ 6177.3;50%;$ 3088.65
6099;coaltar+asoc.;MENCOGRIN A.P.;shamp.x 120 ml;Megalabs Argent;$ 5097.92;50%;$ 2548.96
5222;coaltar+urea+alantoína;CREMSOR N;cr.x 50 g;Megalabs Argent;$ 4859.01;50%;$ 2429.51
20193;dexametasona;DEXAMERAL 4;4 mg comp.x 10;Megalabs Argent;$ 8319.4;50%;$ 4159.7
20194;dexametasona;DEXAMERAL 4;4 mg comp.x 20;Megalabs Argent;$ 15634.02;50%;$ 7817.01
25225;donepecilo;ONEFIN;10 mg comp.x 28;Megalabs Argent;$ 26180.77;50%;$ 13090.39
25224;donepecilo;ONEFIN;5 mg comp.x 28;Megalabs Argent;$ 20488.89;50%;$ 10244.45
31677;doxiciclina;ASOLMICINA.DOX;100 mg comp.rec.x 15;Megalabs Argent;$ 14816.75;60%;$ 5926.7
31678;doxiciclina;ASOLMICINA.DOX;100 mg comp.rec.x 30;Megalabs Argent;$ 23706.23;60%;$ 9482.49
52593;doxilamina+piridoxina;TUERIS;cáps.x 24;Megalabs Argent;$ 25505.86;50%;$ 12752.93
57322;duloxetina;ALACIR;30 mg comp.rec.x 14;Megalabs Argent;$ 4922.59;50%;$ 2461.3
57323;duloxetina;ALACIR;60 mg comp.rec.x 28;Megalabs Argent;$ 10933.78;50%;$ 5466.89
41956;escitalopram;ESCITEROKAM;10 mg comp.ran.x 30;Megalabs Argent;$ 36170.34;50%;$ 18085.17
41958;escitalopram;ESCITEROKAM;20 mg comp.ran.x 30;Megalabs Argent;$ 64036.04;50%;$ 32018.02
59457;eszopiclona;DORPLEN;3 mg comp.rec.x 30;Megalabs Argent;$ 14003.88;50%;$ 7001.94
24150;finasteride;SUTRICO;1 mg comp.x 30;Megalabs Argent;$ 10939.35;50%;$ 5469.68
21766;fluconazol;FLUZOL;150 mg comp.x 4;Megalabs Argent;$ 14452.34;50%;$ 7226.17
18629;fluconazol;HONGUIL PLUS;cáps.oral x 1;Megalabs Argent;$ 7342.26;50%;$ 3671.13
18630;fluconazol;HONGUIL PLUS;cáps.oral x 2;Megalabs Argent;$ 13818.87;50%;$ 6909.44
21291;fluconazol;HONGUIL PLUS;cáps.oral x 4;Megalabs Argent;$ 23760.52;50%;$ 11880.26
39629;fluconazol;HONGUIL PLUS;cáps.oral x 8;Megalabs Argent;$ 37633.09;50%;$ 18816.55
27156;fusídico,ác.;GELBIOTIC;cr.x 15 g;Megalabs Argent;$ 10711.22;60%;$ 4284.49
27157;fusídico,ác.+betametasona;GELBIOTIC PLUS;cr.x 15 g;Megalabs Argent;$ 25582.96;40%;$ 15349.78
21245;fólico,ác.;TANVIMIL FOLICO;1 mg comp.x 30;Megalabs Argent;$ 7040.16;50%;$ 3520.08
26754;fólico,ác.;TANVIMIL FOLICO;1 mg comp.x 60;Megalabs Argent;$ 10780.01;50%;$ 5390.01
31960;fólico,ác.;TANVIMIL FOLICO;10 mg comp.x 30;Megalabs Argent;$ 12175.05;50%;$ 6087.53
31961;fólico,ác.;TANVIMIL FOLICO;10 mg comp.x 60;Megalabs Argent;$ 22136.54;50%;$ 11068.27
21246;fólico,ác.;TANVIMIL FOLICO;5 mg comp.x 30;Megalabs Argent;$ 8776.81;50%;$ 4388.41
26755;fólico,ác.;TANVIMIL FOLICO;5 mg comp.x 60;Megalabs Argent;$ 15569.29;50%;$ 7784.65
52594;fólico,ác.;TANVIMIL FOLICO;gts.x 10 ml;Megalabs Argent;$ 8490.84;50%;$ 4245.42
20405;gentamicina+asoc.;PANCUTAN;gel x 20 g;Megalabs Argent;$ 1022.14;50%;$ 511.07
15430;ginseng+vit.+minerales;TANVIMIL GINSENG;cáps.x 30;Megalabs Argent;$ 10677.02;40%;$ 6406.21
15431;ginseng+vit.+minerales;TANVIMIL GINSENG;cáps.x 60;Megalabs Argent;$ 20950.37;40%;$ 12570.22
7007;hidroclorotiazida;TANDIUR;50 mg comp.x 30;Megalabs Argent;$ 7562.82;50%;$ 3781.41
15048;hierro+fólico,ác.;HIERROQUICK 80;comp.rec.x 20;Megalabs Argent;$ 23872.01;50%;$ 11936.01
15046;hierro+fólico,ác.;HIERROQUICK 40;comp.rec.x 20;Megalabs Argent;$ 13867.14;50%;$ 6933.57
15047;hierro+fólico,ác.;HIERROQUICK 40;comp.rec.x 40;Megalabs Argent;$ 21161.67;50%;$ 10580.84
15049;hierro+fólico,ác.;HIERROQUICK 80;comp.rec.x 40;Megalabs Argent;$ 39946.17;50%;$ 19973.09
17495;hierro,sulfato;FACTOFER GOTAS;gts.x 20 ml;Megalabs Argent;$ 4930.25;50%;$ 2465.13
6976;hierro,sulfato+asoc.;FACTOFER B12;comp.rec.x 20;Megalabs Argent;$ 5404.04;50%;$ 2702.02
6977;hierro,sulfato+asoc.;FACTOFER B12;comp.rec.x 50;Megalabs Argent;$ 5921.37;50%;$ 2960.69
18623;homatropina,metilbr.+asoc.;SUMAL;comp.x 10;Megalabs Argent;$ 4661.1;50%;$ 2330.55
6736;homatropina,metilbr.+asoc.;SUMAL;comp.x 20;Megalabs Argent;$ 6779.93;50%;$ 3389.97
50558;imiquimod;VIROSUPRIL 3.75;3.75% cr.x 5 g;Megalabs Argent;$ 37252.27;50%;$ 18626.14
43203;imiquimod;VIROSUPRIL;5% cr.x 5 g;Megalabs Argent;$ 41308.59;50%;$ 20654.3
46872;isotretinoína;FLEXRESAN;20 mg cáps.x 30;Megalabs Argent;$ 94279.4;50%;$ 47139.7
17265;itraconazol;SALIMIDIN 100;100 mg cáps.x 15;Megalabs Argent;$ 27272.8;50%;$ 13636.4
29113;itraconazol;SALIMIDIN 100;100 mg cáps.x 30;Megalabs Argent;$ 49146.42;50%;$ 24573.21
52803;itraconazol;SALIMIDIN 200;200 mg cáps.x 14;Megalabs Argent;$ 42329.37;50%;$ 21164.69
52804;itraconazol;SALIMIDIN 200;200 mg cáps.x 21;Megalabs Argent;$ 51783.93;50%;$ 25891.97
52802;itraconazol;SALIMIDIN 200;200 mg cáps.x 7;Megalabs Argent;$ 23932.85;50%;$ 11966.43
22086;ivermectina;SECURO;comp.x 2;Megalabs Argent;$ 18151.23;50%;$ 9075.62
26621;ivermectina;SECURO;comp.x 6;Megalabs Argent;$ 26030.6;50%;$ 13015.3
15160;ketoconazol;KEDUO;2% cr.x 15 g;Megalabs Argent;$ 5572.01;40%;$ 3343.21
15159;ketoconazol;KEDUO;2% shamp.x 100 ml;Megalabs Argent;$ 8218.49;40%;$ 4931.09
42710;levofloxacina;BENUR;500 mg comp.rec.x 7;Megalabs Argent;$ 352.07;60%;$ 140.83
30251;memantine;FENTINA;10 mg comp.x 30;Megalabs Argent;$ 27628.93;50%;$ 13814.47
48159;metildopa;HIPERMET;250 mg comp.x 50;Megalabs Argent;$ 14249.76;60%;$ 5699.9
48158;metildopa;HIPERMET;500 mg comp.rec.x 40;Megalabs Argent;$ 15414.47;60%;$ 6165.79
26756;metronidazol;TRICOFIN;1 g comp.x 4;Megalabs Argent;$ 7133.61;50%;$ 3566.81
26757;metronidazol;TRICOFIN;1 g comp.x 8;Megalabs Argent;$ 9282.32;50%;$ 4641.16
11712;metronidazol;TRICOFIN;500 mg comp.x 20;Megalabs Argent;$ 6319.61;50%;$ 3159.81
11713;metronidazol;TRICOFIN;500 mg óv.x 8;Megalabs Argent;$ 6398.97;50%;$ 3199.49
22316;miconazol+metronidazol+asoc.;VAGICURAL PLUS;ov.x 12;Megalabs Argent;$ 29551.22;40%;$ 17730.73
22315;miconazol+metronidazol+asoc.;VAGICURAL PLUS;ov.x 6;Megalabs Argent;$ 16856.55;40%;$ 10113.93
39892;minociclina;MEIBI 100;100 mg comp.x 30;Megalabs Argent;$ 44627.18;60%;$ 17850.87
25427;minociclina;MEIBI;50 mg comp.x 30;Megalabs Argent;$ 19636.48;60%;$ 7854.59
32862;minociclina;SEBOCLEAR 100;comp.rec.x 10;Megalabs Argent;$ 11202.11;60%;$ 4480.84
32863;minociclina;SEBOCLEAR 100;comp.rec.x 30;Megalabs Argent;$ 47853.68;60%;$ 19141.47
31575;minociclina;SEBOCLEAR;comp.x 10;Megalabs Argent;$ 4717.98;60%;$ 1887.19
30677;minociclina;SEBOCLEAR;comp.x 30;Megalabs Argent;$ 21815.85;60%;$ 8726.34
58761;modafinilo;FORCILIN;200 mg comp.x 10;Megalabs Argent;$ 16490.64;50%;$ 8245.32
58762;modafinilo;FORCILIN;200 mg comp.x 20;Megalabs Argent;$ 32065.14;50%;$ 16032.57
43522;olanzapina;APSICO;10 mg comp.x 14;Megalabs Argent;$ 11038.23;50%;$ 5519.12
43523;olanzapina;APSICO;10 mg comp.x 28;Megalabs Argent;$ 164590.89;50%;$ 82295.45
43519;olanzapina;APSICO;2.5 mg comp.x 28;Megalabs Argent;$ 56828.48;50%;$ 28414.24
43520;olanzapina;APSICO;5 mg comp.rec.x 14;Megalabs Argent;$ 5366.23;50%;$ 2683.12
43521;olanzapina;APSICO;5 mg comp.rec.x 28;Megalabs Argent;$ 83184.3;50%;$ 41592.15
23077;paroxetina;PAMOXET;20 mg comp.x 30;Megalabs Argent;$ 33151.83;50%;$ 16575.92
24495;paroxetina;PAMOXET;40 mg comp.x 30;Megalabs Argent;$ 41279.26;50%;$ 20639.63
17828;permetrina;DERMOPER;cr.fluida x 100 g;Megalabs Argent;$ 17477.94;50%;$ 8738.97
43125;pregabalina;PREBANAL;150 mg cáps.x 28;Megalabs Argent;$ 54685.66;50%;$ 27342.83
55576;pregabalina;PREBANAL;25 mg cáps.x 28;Megalabs Argent;$ 11253.68;50%;$ 5626.84
55577;pregabalina;PREBANAL;50 mg cáps.x 28;Megalabs Argent;$ 25345.46;50%;$ 12672.73
43123;pregabalina;PREBANAL;75 mg cáps.x 14;Megalabs Argent;$ 17342.48;50%;$ 8671.24
43124;pregabalina;PREBANAL;75 mg cáps.x 28;Megalabs Argent;$ 34224.81;50%;$ 17112.41
43201;progesterona;MAFEL 200;cáps.x 14;Megalabs Argent;$ 30346.19;50%;$ 15173.1
43202;progesterona;MAFEL 200;cáps.x 28;Megalabs Argent;$ 65185.8;50%;$ 32592.9
18977;progesterona;MAFEL;cáps.x 30;Megalabs Argent;$ 34015.34;50%;$ 17007.67
55315;promestriene;PROMECLIM;comp.vag.x 10;Megalabs Argent;$ 20658.66;50%;$ 10329.33
55316;promestriene;PROMECLIM;comp.vag.x 20;Megalabs Argent;$ 38222.5;50%;$ 19111.25
41953;quetiapina;ATIPINA 100;100 mg comp.rec.x 30;Megalabs Argent;$ 79547.38;50%;$ 39773.69
41954;quetiapina;ATIPINA 200;200 mg comp.rec.x 30;Megalabs Argent;$ 101331.11;50%;$ 50665.56
41952;quetiapina;ATIPINA 25;25 mg comp.rec.x 30;Megalabs Argent;$ 48402.84;50%;$ 24201.42
35160;sertralina;ANILAR;100 mg comp.rec.x 30;Megalabs Argent;$ 38928.77;50%;$ 19464.39
33637;sertralina;ANILAR;50 mg comp.rec.x 30;Megalabs Argent;$ 25740.71;50%;$ 12870.36
10912;siliconas;AEROGAL;aerosol x 170 g;Megalabs Argent;$ 22679.07;50%;$ 11339.54
6984;sodio,perborato+asoc.;HIFAMONIL;pvo.sob.x 20;Megalabs Argent;$ 9442.32;50%;$ 4721.16
6983;sodio,perborato+asoc.;HIFAMONIL;pvo.sob.x 8;Megalabs Argent;$ 6031.46;50%;$ 3015.73
6986;sodio,perborato+asoc.;HIFAMONIL;pvo.x 100 g;Megalabs Argent;$ 8307.7;50%;$ 4153.85
30130;terbinafina;TACNA;250 mg comp.x 14;Megalabs Argent;$ 25590.84;50%;$ 12795.42
30131;terbinafina;TACNA;250 mg comp.x 28;Megalabs Argent;$ 46992.25;50%;$ 23496.13
18628;tioconazol;HONGUIL;cáps.vag.x 1;Megalabs Argent;$ 11182.95;50%;$ 5591.48
27531;tióctico,ác.;TIOCTAN;600 mg comp.rec.x 30;Megalabs Argent;$ 49459.14;50%;$ 24729.57
21743;triticum vulgare+asoc.;CICATUL N.F.;cr.tópica x 30 g;Megalabs Argent;$ 20090.98;50%;$ 10045.49
45417;triticum vulgare+asoc.;CICATUL N.F.;cr.vag.x 60 g;Megalabs Argent;$ 24988.96;50%;$ 12494.48
49123;triticum vulgare+asoc.;CICATUL N.F.;gasas est.monod.x 10;Megalabs Argent;$ 29025.02;50%;$ 14512.51
21746;triticum vulgare+asoc.;CICATUL N.F.;ov.x 6;Megalabs Argent;$ 20615.86;50%;$ 10307.93
7028;vit.+minerales;TANVIMIL M;cáps.x 30;Megalabs Argent;$ 9046.92;40%;$ 5428.15
51071;vit.+minerales;TANVIMIL M;cáps.x 60;Megalabs Argent;$ 15166.85;40%;$ 9100.11
7013;vit.a;TANVIMIL A;100000 UI cáps.x 30;Megalabs Argent;$ 12732.26;40%;$ 7639.36
51062;vit.a;TANVIMIL A;50000 UI cáps.x 30;Megalabs Argent;$ 13543.3;40%;$ 8125.98
51063;vit.a;TANVIMIL A;50000 UI cáps.x 60;Megalabs Argent;$ 11437.71;40%;$ 6862.63
27830;vit.a+vit.c+vit.d;TANVIMIL ACD;gts.x 20 ml;Megalabs Argent;$ 8039.38;40%;$ 4823.63
40719;vit.b,complejo;TANVIMIL B1 B6 B12;comp.rec.x 30;Megalabs Argent;$ 42112.14;40%;$ 25267.28
51065;vit.b6;TANVIMIL B6;comp.x 30;Megalabs Argent;$ 3647.48;40%;$ 2188.49
51064;vit.b6;TANVIMIL B6;comp.x 60;Megalabs Argent;$ 4389.06;40%;$ 2633.44
51072;vit.c+vit.e+betacaroteno;TANVIMIL PLUS;cáps.x 30;Megalabs Argent;$ 10694.19;40%;$ 6416.51
51073;vit.c+vit.e+betacaroteno;TANVIMIL PLUS;cáps.x 60;Megalabs Argent;$ 16616.91;40%;$ 9970.15
7021;vit.d;TANVIMIL D;gts.x 10 ml;Megalabs Argent;$ 5680.38;40%;$ 3408.23
50604;vit.e;TANVIMIL E;1000 mg cáps.x 30;Megalabs Argent;$ 41066.17;40%;$ 24639.7
50605;vit.e;TANVIMIL E;1000 mg cáps.x 60;Megalabs Argent;$ 70403.58;40%;$ 42242.15
51066;vit.e;TANVIMIL E;400 mg cáps.x 60;Megalabs Argent;$ 23265.57;40%;$ 13959.34
51067;vit.e;TANVIMIL E;cáps.x 30;Megalabs Argent;$ 10899.63;40%;$ 6539.78
51068;vit.e;TANVIMIL E;cáps.x 60;Megalabs Argent;$ 19054.24;40%;$ 11432.54
26753;vit.e+vit.a+asoc.;TANVIMIL EBA;cáps.x 100;Megalabs Argent;$ 50143.88;40%;$ 30086.33
51069;vit.e+vit.a+asoc.;TANVIMIL EBA;cáps.x 30;Megalabs Argent;$ 19521.26;40%;$ 11712.76
51070;vit.e+vit.a+asoc.;TANVIMIL EBA;cáps.x 60;Megalabs Argent;$ 33373.29;40%;$ 20023.97
7027;vit.k;TANVIMIL K;comp.x 10;Megalabs Argent;$ 7499.61;50%;$ 3749.81
26167;progesterona;CRINONE 8%;dispens.monods.pack x 15;Merck Serono;$ 124081.03;50%;$ 62040.52
35327;acenocumarol;FORTONOL;4 mg comp.x 20;Microsules Arg.;$ 13476.06;80%;$ 2695.21
39550;alendronato;TILIOS;70 mg comp.x 4;Microsules Arg.;$ 13673.72;60%;$ 5469.49
33616;alendronato;TILIOS;70 mg comp.x 8;Microsules Arg.;$ 19293.68;60%;$ 7717.47
23286;alprazolam;ALPRAZOLAM MICROSULES;0.50 mg comp.x 30;Microsules Arg.;$ 4759.59;50%;$ 2379.8
23287;alprazolam;ALPRAZOLAM MICROSULES;0.50 mg comp.x 60;Microsules Arg.;$ 8955.41;50%;$ 4477.71
23288;alprazolam;ALPRAZOLAM MICROSULES;1 mg comp.x 30;Microsules Arg.;$ 7360.25;50%;$ 3680.13
23290;alprazolam;ALPRAZOLAM MICROSULES;1 mg comp.x 60;Microsules Arg.;$ 13722.68;50%;$ 6861.34
23292;alprazolam;ALPRAZOLAM MICROSULES;2 mg comp.x 30;Microsules Arg.;$ 11469.49;50%;$ 5734.75
35140;amlodipina;ANEXA;10 mg comp.x 30;Microsules Arg.;$ 24222.41;60%;$ 9688.96
35139;amlodipina;ANEXA;5 mg comp.x 30;Microsules Arg.;$ 14951.04;60%;$ 5980.42
17192;amoxicilina;NOBACTAM;1 g comp.rec.x 16;Microsules Arg.;$ 21553.72;60%;$ 8621.49
17191;amoxicilina;NOBACTAM;1 g comp.rec.x 8;Microsules Arg.;$ 10433.69;60%;$ 4173.48
39821;amoxicilina;NOBACTAM;250 mg susp.ped.x 90 ml;Microsules Arg.;$ 6323.76;60%;$ 2529.5
39822;amoxicilina;NOBACTAM;500 mg susp.ped.x 90 ml;Microsules Arg.;$ 11483.85;60%;$ 4593.54
19379;amoxicilina+ambroxol;NOBACTAM BRONQUIAL;comp.rec.x 16;Microsules Arg.;$ 10009.55;50%;$ 5004.78
45247;amoxicilina+clavulánico,ác.;NOBACTAM CLAVULANICO 2;comp.rec.x 14;Microsules Arg.;$ 21739.15;60%;$ 8695.66
32121;atenolol;ATENOLOL MICROSULES;50 mg comp.x 28;Microsules Arg.;$ 6860.38;80%;$ 1372.08
62369;atenolol;ATENOLOL MICROSULES;50 mg comp.x 30;Microsules Arg.;$ 6860.38;80%;$ 1372.08
32122;atenolol;ATENOLOL MICROSULES;50 mg comp.x 56;Microsules Arg.;$ 14264.64;80%;$ 2852.93
62370;atenolol;ATENOLOL MICROSULES;50 mg comp.x 60;Microsules Arg.;$ 14264.64;80%;$ 2852.93
35328;atorvastatín;FINLIPOL;10 mg comp.x 30;Microsules Arg.;$ 33004.97;60%;$ 13201.99
35329;atorvastatín;FINLIPOL;10 mg comp.x 60;Microsules Arg.;$ 55466.86;60%;$ 22186.74
35330;atorvastatín;FINLIPOL;20 mg comp.x 30;Microsules Arg.;$ 54885.76;60%;$ 21954.3
35331;atorvastatín;FINLIPOL;20 mg comp.x 60;Microsules Arg.;$ 92300.7;60%;$ 36920.28
52607;atorvastatín;FINLIPOL;40 mg comp.x 30;Microsules Arg.;$ 59843.7;60%;$ 23937.48
23294;azitromicina;TANEZOX;500 mg comp.x 3;Microsules Arg.;$ 10826.37;60%;$ 4330.55
39247;azitromicina;TANEZOX;500 mg comp.x 6;Microsules Arg.;$ 14011.37;60%;$ 5604.55
24465;betametasona+gentamic.+miconazol;TRIPLEX;cr.x 20 g;Microsules Arg.;$ 12242.53;40%;$ 7345.52
45533;carvedilol;ENTARSOL 12.5;12.5 mg comp.x 28;Microsules Arg.;$ 12638.68;60%;$ 5055.47
45534;carvedilol;ENTARSOL 25;25 mg comp.x 28;Microsules Arg.;$ 15382.03;60%;$ 6152.81
45532;carvedilol;ENTARSOL 6.25;6.25 mg comp.x 28;Microsules Arg.;$ 10102.54;60%;$ 4041.02
52279;cefalexina;SINURIT;1000 mg comp.rec.x 16;Microsules Arg.;$ 23689.37;60%;$ 9475.75
50046;cefalexina;SINURIT;500 mg comp.rec.x 16;Microsules Arg.;$ 11772.55;60%;$ 4709.02
21119;ciprofloxacina;MICROSULF;500 mg comp.x 10;Microsules Arg.;$ 17399.3;60%;$ 6959.72
61482;ciprofloxacina;MICROSULF;500 mg comp.x 20;Microsules Arg.;$ 30990.4;60%;$ 12396.16
50047;clopidogrel;MICRO-CAPE;75 mg comp.rec.x 30;Microsules Arg.;$ 57055.34;50%;$ 28527.67
52848;desloratadina;TERALMINA;5 mg comp.rec.x 14;Microsules Arg.;$ 12786.85;40%;$ 7672.11
52847;desloratadina;TERALMINA;5 mg comp.rec.x 7;Microsules Arg.;$ 7304.5;40%;$ 4382.7
21117;diclofenac sódico;DIASTONE RETARD;100 mg comp.x 15;Microsules Arg.;$ 13736.36;40%;$ 8241.82
21112;diclofenac sódico;DIASTONE;50 mg comp.x 15;Microsules Arg.;$ 6358.59;40%;$ 3815.15
21113;diclofenac sódico;DIASTONE;50 mg comp.x 30;Microsules Arg.;$ 10355.04;40%;$ 6213.02
21114;diclofenac sódico;DIASTONE;75 mg comp.x 15;Microsules Arg.;$ 10096.75;40%;$ 6058.05
21115;diclofenac sódico;DIASTONE;75 mg comp.x 30;Microsules Arg.;$ 17956.55;40%;$ 10773.93
46245;diclofenac+pridinol;DIASTONE FLEX;comp.rec.x 10;Microsules Arg.;$ 7539.89;40%;$ 4523.93
62028;diclofenac+vit.b12+betametasona;DIASTONE B12;comp.rec.x 20;Microsules Arg.;$ 25265.42;40%;$ 15159.25
40628;enalapril;SULOCTEN;10 mg comp.x 30;Microsules Arg.;$ 8306.21;80%;$ 1661.24
40629;enalapril;SULOCTEN;10 mg comp.x 60;Microsules Arg.;$ 17188.84;80%;$ 3437.77
40412;enalapril;SULOCTEN;20 mg comp.x 30;Microsules Arg.;$ 11324.82;80%;$ 2264.96
40416;enalapril;SULOCTEN;20 mg comp.x 60;Microsules Arg.;$ 21016.91;80%;$ 4203.38
40626;enalapril;SULOCTEN;5 mg comp.x 30;Microsules Arg.;$ 5344.84;80%;$ 1068.97
40627;enalapril;SULOCTEN;5 mg comp.x 60;Microsules Arg.;$ 10255.09;80%;$ 2051.02
40721;enalapril+hidroclorotiazida;SULOCTEN D;10 mg comp.x 30;Microsules Arg.;$ 14539.33;80%;$ 2907.87
39988;ergotamina+cafeína+asoc.;SOLACIL;comp.rec.x 10;Microsules Arg.;$ 5322.99;50%;$ 2661.5
58524;etoricoxib;CRACOX 120;120 mg comp.rec.x 7;Microsules Arg.;$ 13948.36;50%;$ 6974.18
58521;etoricoxib;CRACOX 60;60 mg comp.rec.x 14;Microsules Arg.;$ 12748.03;50%;$ 6374.02
58522;etoricoxib;CRACOX 90;90 mg comp.rec.x 14;Microsules Arg.;$ 27053.13;50%;$ 13526.57
58523;etoricoxib;CRACOX 90;90 mg comp.rec.x 28;Microsules Arg.;$ 41830.46;50%;$ 20915.23
19327;finasteride;FLUTIAMIK;comp.x 30;Microsules Arg.;$ 30329.13;50%;$ 15164.57
32673;glimepiride;LOMET;4 mg comp.x 15;Microsules Arg.;$ 12132.55;100%;$ 0
32674;glimepiride;LOMET;4 mg comp.x 30;Microsules Arg.;$ 20382.92;100%;$ 0
39987;hioscina,n-butilbr.+dipirona;GASTROLINA COMPUESTA;comp.rec.x 10;Microsules Arg.;$ 5777.82;50%;$ 2888.91
48335;ibandrónico,ác.;INTERSULES;150 mg comp.rec.x 1;Microsules Arg.;$ 31777.64;50%;$ 15888.82
50486;ibandrónico,ác.;INTERSULES;150 mg comp.rec.x 3;Microsules Arg.;$ 52795.34;50%;$ 26397.67
9616;ketorolac;KEMANAT;10 mg comp.x 10;Microsules Arg.;$ 7906.04;50%;$ 3953.02
1897;ketorolac;KEMANAT;10 mg comp.x 20;Microsules Arg.;$ 12441.25;50%;$ 6220.63
9617;ketorolac;KEMANAT;20 mg comp.x 10;Microsules Arg.;$ 12064.61;50%;$ 6032.31
1899;ketorolac;KEMANAT;20 mg comp.x 20;Microsules Arg.;$ 19078.82;50%;$ 9539.41
25398;ketorolac;KEMANAT;sublingual comp.x 10;Microsules Arg.;$ 10595.28;50%;$ 5297.64
48004;levofloxacina;ELY DIAR;750 mg comp.rec.x 5;Microsules Arg.;$ 13934.9;60%;$ 5573.96
33490;lidocaína+asoc.;PROCTO-METADYNE;cr.rectal x 20 g;Microsules Arg.;$ 9043.06;50%;$ 4521.53
22087;loperamida;CUSTEY;2 mg comp.x 10;Microsules Arg.;$ 5591.72;50%;$ 2795.86
46246;losartán;ENROMIC;100 mg comp.rec.x 30;Microsules Arg.;$ 31158.29;60%;$ 12463.32
